family,variant,param,seed,frame_det_rate,frame_recall_V,frame_recall_E,frame_recall_H,frame_fa_off,cell_fpr_off,cell_f1,cell_recall,cell_precision,tau_star_val_diag,cell_f1_at_tau_star
brightness,bright_0.6,0.6,42,0.888889,0.933333,0.166667,1.000000,0.270833,0.040625,0.462471,0.725146,0.339493,0.47,0.467153
brightness,bright_0.6,0.6,43,0.844444,0.866667,0.333333,1.000000,0.347222,0.044792,0.440786,0.606725,0.346122,0.42,0.447746
brightness,bright_0.6,0.6,44,0.577778,0.613333,0.500000,0.500000,0.034722,0.003472,0.362720,0.315789,0.426036,0.10,0.467128
brightness,bright_0.8,0.8,42,0.822222,0.853333,0.166667,1.000000,0.201389,0.023611,0.466029,0.711988,0.346373,0.67,0.473106
brightness,bright_0.8,0.8,43,0.866667,0.880000,0.500000,1.000000,0.500000,0.071875,0.454231,0.671053,0.343306,0.62,0.455598
brightness,bright_0.8,0.8,44,0.655556,0.666667,0.666667,0.833333,0.041667,0.003472,0.422388,0.413743,0.431402,0.10,0.480789
brightness,identity,1.0,42,0.788889,0.813333,0.166667,1.000000,0.152778,0.018056,0.463178,0.698830,0.346377,0.63,0.473258
brightness,identity,1.0,43,0.866667,0.880000,0.500000,1.000000,0.694444,0.108681,0.442502,0.703216,0.322819,0.71,0.452703
brightness,identity,1.0,44,0.688889,0.680000,0.833333,1.000000,0.083333,0.007292,0.458162,0.488304,0.431525,0.31,0.485250
brightness,bright_1.2,1.2,42,0.755556,0.773333,0.166667,1.000000,0.118056,0.013542,0.432590,0.652047,0.323657,0.47,0.435028
brightness,bright_1.2,1.2,43,0.877778,0.880000,0.666667,1.000000,0.791667,0.127778,0.437528,0.709064,0.316373,0.64,0.446043
brightness,bright_1.2,1.2,44,0.711111,0.693333,0.833333,1.000000,0.097222,0.010069,0.481193,0.542398,0.432401,0.40,0.486061
brightness,bright_1.4,1.4,42,0.677778,0.720000,0.000000,0.666667,0.229167,0.042361,0.375734,0.561404,0.282353,0.47,0.382838
brightness,bright_1.4,1.4,43,0.822222,0.826667,0.500000,1.000000,0.784722,0.138889,0.416143,0.678363,0.300129,0.65,0.439724
brightness,bright_1.4,1.4,44,0.711111,0.706667,0.833333,0.833333,0.118056,0.013542,0.439824,0.510234,0.386489,0.52,0.442024
gamma,gamma_0.7,0.7,42,0.733333,0.760000,0.000000,1.000000,0.069444,0.006944,0.441967,0.637427,0.338247,0.42,0.443387
gamma,gamma_0.7,0.7,43,0.877778,0.893333,0.500000,1.000000,0.701389,0.129167,0.419785,0.713450,0.297380,0.73,0.452523
gamma,gamma_0.7,0.7,44,0.677778,0.680000,0.666667,0.833333,0.062500,0.004861,0.464605,0.494152,0.438392,0.18,0.484153
gamma,identity,1.0,42,0.788889,0.813333,0.166667,1.000000,0.152778,0.018056,0.463178,0.698830,0.346377,0.63,0.473258
gamma,identity,1.0,43,0.866667,0.880000,0.500000,1.000000,0.694444,0.108681,0.442502,0.703216,0.322819,0.71,0.452703
gamma,identity,1.0,44,0.688889,0.680000,0.833333,1.000000,0.083333,0.007292,0.458162,0.488304,0.431525,0.31,0.485250
gamma,gamma_1.4,1.4,42,0.888889,0.906667,0.500000,1.000000,0.236111,0.033333,0.478022,0.763158,0.348000,0.69,0.488147
gamma,gamma_1.4,1.4,43,0.866667,0.866667,0.666667,1.000000,0.666667,0.094792,0.445419,0.668129,0.334064,0.54,0.448032
gamma,gamma_1.4,1.4,44,0.722222,0.720000,0.833333,1.000000,0.138889,0.011806,0.434193,0.467836,0.405063,0.23,0.482046
exposure,exp_-1,-1.0,42,0.844444,0.880000,0.166667,1.000000,0.222222,0.029514,0.470085,0.723684,0.348101,0.62,0.474559
exposure,exp_-1,-1.0,43,0.844444,0.866667,0.333333,1.000000,0.444444,0.057986,0.454032,0.646199,0.349960,0.54,0.457565
exposure,exp_-1,-1.0,44,0.644444,0.653333,0.666667,0.833333,0.041667,0.003472,0.404615,0.384503,0.426948,0.14,0.478458
exposure,exp_-0.5,-0.5,42,0.811111,0.840000,0.166667,1.000000,0.187500,0.021528,0.467209,0.713450,0.347331,0.64,0.476395
exposure,exp_-0.5,-0.5,43,0.866667,0.880000,0.500000,1.000000,0.562500,0.080903,0.452958,0.682749,0.338897,0.67,0.454134
exposure,exp_-0.5,-0.5,44,0.666667,0.680000,0.666667,0.833333,0.055556,0.004167,0.430325,0.435673,0.425107,0.14,0.486052
exposure,identity,0.0,42,0.788889,0.813333,0.166667,1.000000,0.152778,0.018056,0.463178,0.698830,0.346377,0.63,0.473258
exposure,identity,0.0,43,0.866667,0.880000,0.500000,1.000000,0.694444,0.108681,0.442502,0.703216,0.322819,0.71,0.452703
exposure,identity,0.0,44,0.688889,0.680000,0.833333,1.000000,0.083333,0.007292,0.458162,0.488304,0.431525,0.31,0.485250
exposure,exp_+0.5,0.5,42,0.766667,0.786667,0.166667,1.000000,0.111111,0.012153,0.445748,0.666667,0.334802,0.53,0.446777
exposure,exp_+0.5,0.5,43,0.877778,0.880000,0.666667,1.000000,0.784722,0.127431,0.441547,0.717836,0.318831,0.75,0.451119
exposure,exp_+0.5,0.5,44,0.711111,0.693333,0.833333,1.000000,0.104167,0.010417,0.478855,0.538012,0.431419,0.41,0.485185
exposure,exp_+1,1.0,42,0.688889,0.720000,0.000000,0.833333,0.250000,0.045486,0.384093,0.578947,0.287373,0.49,0.387128
exposure,exp_+1,1.0,43,0.833333,0.840000,0.500000,1.000000,0.784722,0.146528,0.409829,0.682749,0.292790,0.73,0.437973
exposure,exp_+1,1.0,44,0.700000,0.693333,0.833333,0.833333,0.111111,0.012847,0.436224,0.500000,0.386878,0.42,0.443525
