frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.006638,0.003893,0.003559,0.004994,0.007133,0.132644,0.127376,0.192170,0.199712,0.100026,0.290118,0.478728,0.756763,0.414109,0.136162,0.330970,0.539535,0.485928,0.382774,0.274240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.005563,0.002913,0.006154,0.003735,0.010875,0.028815,0.017935,0.019662,0.025107,0.021660,0.040124,0.047733,0.141210,0.078620,0.039929,0.055515,0.261497,0.381559,0.340824,0.069705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.001145,0.000438,0.000960,0.000568,0.001824,0.005884,0.001975,0.001678,0.003015,0.003653,0.015709,0.005300,0.017690,0.015897,0.032153,0.078229,0.419917,0.421296,0.548209,0.122137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.000904,0.000480,0.000738,0.000600,0.000872,0.011222,0.002599,0.006682,0.006867,0.003259,0.209627,0.122454,0.083922,0.006899,0.004822,0.120253,0.225752,0.123214,0.109593,0.067535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.035750,0.028422,0.058182,0.036399,0.071300,0.267418,0.216006,0.270478,0.340701,0.212344,0.043831,0.057954,0.182686,0.130758,0.083354,0.074224,0.274167,0.337646,0.320541,0.064814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.002079,0.001328,0.002469,0.001651,0.004047,0.017151,0.008875,0.012283,0.015032,0.006923,0.032515,0.037465,0.046264,0.009744,0.006159,0.065604,0.375767,0.370402,0.220923,0.042847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.001482,0.000768,0.001422,0.001059,0.003138,0.006482,0.003317,0.003803,0.004487,0.004818,0.003538,0.003466,0.018184,0.013207,0.006591,0.008289,0.033156,0.061387,0.068528,0.010630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000341,0.000203,0.000386,0.000292,0.000589,0.004527,0.001144,0.002240,0.002202,0.000749,0.060740,0.066405,0.065792,0.002128,0.000425,0.024106,0.067559,0.033361,0.011607,0.002918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.006518,0.004692,0.005577,0.007059,0.008940,0.103937,0.114746,0.237547,0.208645,0.084228,0.045830,0.098333,0.090479,0.028640,0.021423,0.360109,0.644140,0.484939,0.347376,0.308362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.002432,0.001099,0.004261,0.002109,0.006172,0.016578,0.006322,0.007635,0.008641,0.009316,0.023688,0.008039,0.014471,0.008151,0.012373,0.085659,0.496095,0.392801,0.256198,0.033527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000404,0.000123,0.000700,0.000306,0.001297,0.000689,0.000178,0.000197,0.000254,0.000307,0.001688,0.000184,0.000700,0.000714,0.001286,0.005601,0.035693,0.026259,0.025561,0.002515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
