frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.012212,0.008147,0.007035,0.009159,0.011982,0.186948,0.174768,0.282907,0.291630,0.150596,0.376628,0.465869,0.740860,0.394806,0.156065,0.440098,0.605435,0.505632,0.441323,0.392244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.005031,0.002432,0.005670,0.003136,0.009603,0.024524,0.014887,0.017718,0.021549,0.016550,0.034353,0.040243,0.119723,0.054719,0.025889,0.051831,0.267524,0.348008,0.302081,0.056495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.001213,0.000457,0.000990,0.000533,0.001834,0.005417,0.001717,0.001534,0.002725,0.003154,0.018069,0.005366,0.019628,0.016711,0.030617,0.078362,0.386248,0.364499,0.527281,0.130086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.001154,0.000610,0.000988,0.000703,0.000983,0.009316,0.002061,0.005444,0.005507,0.002618,0.194323,0.071191,0.060631,0.005455,0.004303,0.133894,0.222214,0.100917,0.101382,0.079537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.038104,0.030437,0.063094,0.036906,0.071629,0.208463,0.162640,0.224274,0.285834,0.172292,0.036958,0.038817,0.150594,0.111864,0.079231,0.085110,0.261868,0.304666,0.330872,0.083274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.002897,0.001841,0.003258,0.002038,0.004948,0.013304,0.006805,0.009637,0.012538,0.005924,0.026355,0.023768,0.036641,0.010506,0.006072,0.055704,0.291245,0.276865,0.195941,0.042921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.002814,0.001583,0.002722,0.001864,0.005292,0.010509,0.004898,0.006716,0.007578,0.008244,0.006256,0.004106,0.021889,0.017224,0.010897,0.016078,0.052802,0.078690,0.098868,0.021776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000755,0.000437,0.000844,0.000603,0.001034,0.006799,0.001627,0.003770,0.003599,0.001222,0.122846,0.074315,0.074164,0.002952,0.000769,0.049115,0.102107,0.039592,0.016007,0.006070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.006668,0.004713,0.005557,0.006989,0.008551,0.099225,0.102112,0.224124,0.200195,0.080326,0.064924,0.119156,0.105242,0.029738,0.023220,0.406744,0.677723,0.470337,0.375442,0.354758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.003028,0.001308,0.005295,0.002471,0.007206,0.019677,0.007376,0.009747,0.010783,0.010364,0.031193,0.009821,0.017509,0.008524,0.012944,0.121640,0.576538,0.408810,0.280188,0.044206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000491,0.000147,0.000806,0.000333,0.001440,0.000841,0.000226,0.000246,0.000321,0.000361,0.002140,0.000234,0.000957,0.000910,0.001488,0.006813,0.039155,0.027858,0.030377,0.003599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0003.png,scene08,off,off,0.000155,0.000061,0.000108,0.000109,0.000171,0.002965,0.000562,0.001060,0.001159,0.000418,0.444359,0.342809,0.136422,0.005262,0.002993,0.113962,0.323198,0.234634,0.084839,0.019440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0004.png,scene08,off,off,0.029650,0.023878,0.056626,0.034664,0.071194,0.184375,0.087118,0.117500,0.173861,0.159499,0.154395,0.049333,0.077940,0.047131,0.073431,0.157890,0.265836,0.134075,0.111154,0.047216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0005.png,scene08,off,off,0.002074,0.001218,0.005004,0.002651,0.005716,0.013551,0.005578,0.012114,0.010278,0.004216,0.047145,0.018386,0.007813,0.001231,0.002609,0.098533,0.346301,0.138928,0.052861,0.014813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0006.png,scene08,off,off,0.000893,0.000365,0.001074,0.000628,0.002101,0.004182,0.001733,0.001792,0.002254,0.003008,0.004124,0.001503,0.004901,0.004440,0.005379,0.014286,0.086849,0.072791,0.075229,0.011526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0007.png,scene08,off,off,0.000144,0.000058,0.000106,0.000116,0.000133,0.000928,0.000272,0.000850,0.000654,0.000250,0.014048,0.017961,0.004000,0.000179,0.000167,0.049676,0.118432,0.023475,0.009374,0.013247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0000.png,scene08,off,off,0.008621,0.004491,0.004820,0.006259,0.009224,0.194347,0.201377,0.309850,0.341443,0.172352,0.301348,0.373830,0.471563,0.251839,0.141077,0.604002,0.839239,0.742149,0.648219,0.535135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0001.png,scene08,off,off,0.002272,0.000762,0.002955,0.001528,0.004983,0.021733,0.012333,0.016629,0.017414,0.012610,0.037531,0.025380,0.056508,0.023497,0.025017,0.107149,0.645433,0.572507,0.473186,0.064346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0002.png,scene08,off,off,0.000583,0.000219,0.000882,0.000428,0.001841,0.002326,0.000565,0.000523,0.000768,0.001143,0.003014,0.000366,0.000891,0.001179,0.004675,0.015820,0.121995,0.092574,0.075505,0.006588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0003.png,scene08,off,off,0.000392,0.000163,0.000277,0.000236,0.000388,0.005716,0.001781,0.004368,0.003714,0.001625,0.075396,0.049698,0.029081,0.003813,0.002767,0.087830,0.293857,0.129976,0.090269,0.045834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0004.png,scene08,off,off,0.026956,0.021375,0.048273,0.027137,0.056993,0.198285,0.168100,0.208991,0.293930,0.206204,0.077149,0.062214,0.152423,0.131620,0.133211,0.116310,0.364371,0.358633,0.335086,0.090735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0005.png,scene08,off,off,0.002494,0.001460,0.002942,0.002207,0.004943,0.067269,0.040460,0.060868,0.061773,0.028172,0.256689,0.276863,0.254900,0.049471,0.036594,0.366404,0.878001,0.803409,0.604064,0.173905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0006.png,scene08,off,off,0.001179,0.000451,0.000877,0.000742,0.002355,0.011707,0.007230,0.008520,0.009490,0.008141,0.012572,0.009396,0.027572,0.020618,0.017022,0.037386,0.228888,0.224013,0.184570,0.029986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0007.png,scene08,off,off,0.000632,0.000298,0.000882,0.000614,0.001515,0.004233,0.001131,0.002291,0.002197,0.001335,0.015310,0.003693,0.003538,0.000878,0.001002,0.019356,0.069497,0.033435,0.018736,0.005260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0000.png,scene20,off,off,0.270123,0.307470,0.663411,0.470159,0.629088,0.408596,0.251983,0.502915,0.649153,0.451631,0.352308,0.090001,0.134567,0.045674,0.042833,0.272934,0.226558,0.115847,0.057553,0.024401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0001.png,scene20,off,off,0.118668,0.152624,0.371034,0.263309,0.402181,0.218495,0.189066,0.375824,0.509846,0.216874,0.157255,0.064137,0.080286,0.029203,0.018565,0.110170,0.070125,0.030140,0.022205,0.014845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0002.png,scene20,off,off,0.181967,0.192527,0.441631,0.350765,0.476073,0.287578,0.162901,0.365601,0.512942,0.291768,0.350763,0.057568,0.087862,0.038501,0.056151,0.354547,0.289551,0.122098,0.090458,0.056982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0003.png,scene20,off,off,0.313609,0.336315,0.683458,0.529095,0.662802,0.418770,0.261463,0.501032,0.653902,0.467774,0.361019,0.077611,0.154650,0.063496,0.066426,0.276549,0.242368,0.163390,0.087195,0.033858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0004.png,scene20,off,off,0.071160,0.067600,0.190108,0.122047,0.202270,0.230403,0.153591,0.282763,0.392404,0.224212,0.131346,0.053697,0.093680,0.034310,0.020128,0.140877,0.153511,0.091317,0.049374,0.021414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0005.png,scene20,off,off,0.119544,0.134652,0.401954,0.263844,0.392226,0.233194,0.152694,0.318914,0.433778,0.270128,0.231818,0.056655,0.077451,0.031082,0.034208,0.208581,0.210601,0.085917,0.050618,0.022597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0006.png,scene20,off,off,0.008397,0.006908,0.038211,0.024505,0.059209,0.011737,0.006580,0.013097,0.020464,0.008784,0.012874,0.009207,0.008387,0.001397,0.000830,0.005406,0.011479,0.004589,0.001713,0.000272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0007.png,scene20,off,off,0.369633,0.467924,0.737476,0.581488,0.685016,0.690614,0.601173,0.786781,0.889967,0.697784,0.562931,0.193079,0.268731,0.133626,0.111389,0.533715,0.405592,0.209011,0.133294,0.107784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0000.png,scene20,off,off,0.000732,0.000408,0.000667,0.000619,0.001422,0.001350,0.002296,0.003030,0.002798,0.002013,0.001604,0.001651,0.009134,0.008190,0.005943,0.012195,0.018961,0.018196,0.018466,0.015537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0001.png,scene20,off,off,0.000067,0.000029,0.000063,0.000020,0.000097,0.000110,0.000037,0.000027,0.000064,0.000046,0.000557,0.000034,0.000190,0.000134,0.000100,0.015064,0.017504,0.018828,0.010712,0.004294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0002.png,scene20,off,off,0.000025,0.000009,0.000020,0.000006,0.000029,0.000034,0.000007,0.000006,0.000015,0.000013,0.000297,0.000008,0.000057,0.000044,0.000051,0.026955,0.035269,0.029321,0.019121,0.007234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0003.png,scene20,off,off,0.008456,0.005078,0.012953,0.010936,0.018756,0.014237,0.026455,0.035051,0.043533,0.028102,0.004803,0.003015,0.019472,0.027417,0.021153,0.020030,0.021674,0.032935,0.025623,0.020627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0004.png,scene20,off,off,0.000333,0.000193,0.000535,0.000308,0.000688,0.002093,0.001900,0.002020,0.002519,0.001740,0.000910,0.000369,0.000843,0.000629,0.000552,0.025576,0.057485,0.040151,0.015142,0.010607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0005.png,scene20,off,off,0.000064,0.000034,0.000092,0.000028,0.000101,0.000098,0.000015,0.000014,0.000033,0.000031,0.002124,0.000065,0.000135,0.000045,0.000077,0.037090,0.032729,0.016529,0.007125,0.004338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0006.png,scene20,off,off,0.000004,0.000002,0.000005,0.000002,0.000012,0.000007,0.000003,0.000001,0.000003,0.000003,0.000009,0.000002,0.000009,0.000009,0.000007,0.000422,0.001652,0.003616,0.001325,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0007.png,scene20,off,off,0.001546,0.001187,0.002093,0.001255,0.002779,0.006742,0.006552,0.008842,0.011460,0.004765,0.016577,0.006139,0.012307,0.005776,0.004645,0.143262,0.258575,0.100052,0.062759,0.058131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0000.png,scene20,off,off,0.141332,0.128359,0.423650,0.266655,0.442888,0.216740,0.099852,0.235003,0.370826,0.215246,0.225370,0.044380,0.055320,0.016603,0.017686,0.215999,0.221017,0.109718,0.038632,0.016334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0001.png,scene20,off,off,0.104401,0.105748,0.283116,0.205266,0.347627,0.203325,0.134436,0.271733,0.416521,0.193670,0.187637,0.051841,0.067906,0.025145,0.019857,0.151201,0.123918,0.052480,0.031787,0.019265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0002.png,scene20,off,off,0.139020,0.119387,0.360003,0.267954,0.406921,0.215631,0.094591,0.239997,0.375469,0.217956,0.337208,0.048115,0.061289,0.024050,0.037603,0.338351,0.310540,0.133513,0.072559,0.040244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0003.png,scene20,off,off,0.259706,0.240267,0.617219,0.435641,0.595963,0.400142,0.209766,0.426518,0.605886,0.408011,0.384309,0.073794,0.117625,0.041517,0.044867,0.358671,0.353316,0.230934,0.086886,0.037463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0004.png,scene20,off,off,0.057467,0.044146,0.175488,0.108989,0.216016,0.098559,0.047596,0.111166,0.183741,0.083960,0.089589,0.026311,0.028172,0.008193,0.006814,0.109404,0.144595,0.064755,0.024846,0.009383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0005.png,scene20,off,off,0.147885,0.142456,0.408474,0.286341,0.424439,0.288583,0.142678,0.301152,0.463765,0.301207,0.392045,0.083534,0.113859,0.041191,0.049447,0.342961,0.312172,0.146619,0.073825,0.045564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0006.png,scene20,off,off,0.011999,0.009495,0.043791,0.030982,0.079368,0.015448,0.007608,0.014975,0.028234,0.012171,0.026071,0.012008,0.010233,0.002270,0.001743,0.011674,0.017878,0.006570,0.003220,0.000838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L7__s20260819__0007.png,scene20,off,off,0.298237,0.324742,0.624269,0.462120,0.601352,0.597001,0.449967,0.668569,0.822791,0.587902,0.502592,0.129114,0.203631,0.097461,0.090169,0.510016,0.433872,0.252939,0.143032,0.110137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0000.png,sceneD3,off,off,0.000611,0.000367,0.001486,0.001084,0.001720,0.006222,0.002919,0.002908,0.003483,0.002555,0.058361,0.017533,0.023708,0.002147,0.006448,0.149970,0.492268,0.357897,0.083551,0.011077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0001.png,sceneD3,off,off,0.007113,0.005865,0.015547,0.011358,0.020412,0.037281,0.017197,0.014031,0.021657,0.028108,0.055417,0.019294,0.038857,0.017597,0.030264,0.060570,0.130947,0.180885,0.058337,0.014416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0002.png,sceneD3,off,off,0.000482,0.000172,0.001113,0.000515,0.001602,0.002246,0.003080,0.003717,0.002938,0.001400,0.007631,0.007156,0.045832,0.006791,0.003855,0.008780,0.033332,0.051724,0.023850,0.002782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0003.png,sceneD3,off,off,0.005707,0.003164,0.012117,0.007185,0.015904,0.040244,0.030345,0.030971,0.037336,0.018215,0.065706,0.051417,0.171505,0.038084,0.015976,0.033114,0.121216,0.153809,0.050418,0.005143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0004.png,sceneD3,off,off,0.000604,0.000364,0.001660,0.001000,0.001974,0.002895,0.002107,0.002192,0.002629,0.001625,0.015531,0.002654,0.010134,0.003208,0.009255,0.029912,0.141313,0.136133,0.056659,0.005991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0005.png,sceneD3,off,off,0.001295,0.000746,0.002505,0.002021,0.003646,0.005075,0.007112,0.008418,0.008486,0.003786,0.013054,0.005696,0.028207,0.012935,0.016544,0.013398,0.022826,0.025657,0.022247,0.007416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0006.png,sceneD3,off,off,0.001307,0.000695,0.002940,0.001762,0.003648,0.005226,0.005730,0.006681,0.007090,0.002693,0.019217,0.005019,0.016848,0.004219,0.007235,0.037428,0.083858,0.051584,0.027328,0.006053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L0__s20260819__0007.png,sceneD3,off,off,0.030664,0.024993,0.042812,0.038079,0.063959,0.326363,0.371567,0.398842,0.456115,0.310819,0.301453,0.400891,0.574438,0.315951,0.245042,0.345170,0.640763,0.649159,0.513231,0.195509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0000.png,sceneD3,off,off,0.000111,0.000060,0.000246,0.000180,0.000340,0.000553,0.000329,0.000316,0.000308,0.000234,0.001998,0.000514,0.000563,0.000150,0.000761,0.026554,0.144125,0.103755,0.025524,0.003169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0001.png,sceneD3,off,off,0.000837,0.000638,0.002232,0.001530,0.003274,0.006322,0.003820,0.003275,0.003914,0.003110,0.004921,0.002209,0.002597,0.001107,0.001868,0.027694,0.074868,0.049405,0.010670,0.002807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0002.png,sceneD3,off,off,0.000289,0.000091,0.000417,0.000211,0.000551,0.001876,0.003318,0.004103,0.002739,0.001331,0.010368,0.008461,0.058334,0.015160,0.013449,0.054934,0.257209,0.363539,0.280618,0.044813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0003.png,sceneD3,off,off,0.001138,0.000435,0.001056,0.000710,0.001646,0.026346,0.031075,0.031105,0.028298,0.013607,0.079709,0.125604,0.235184,0.058901,0.036734,0.395508,0.880799,0.886687,0.697990,0.187279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0004.png,sceneD3,off,off,0.000009,0.000005,0.000026,0.000017,0.000043,0.000017,0.000027,0.000018,0.000015,0.000008,0.000026,0.000024,0.000095,0.000052,0.000090,0.000481,0.002741,0.012768,0.003326,0.000234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0005.png,sceneD3,off,off,0.002160,0.001227,0.002455,0.002102,0.003545,0.025262,0.045451,0.055632,0.052614,0.018163,0.103360,0.080224,0.169159,0.090046,0.091292,0.254041,0.437254,0.311894,0.283015,0.172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0006.png,sceneD3,off,off,0.000132,0.000055,0.000202,0.000132,0.000279,0.000831,0.001144,0.001111,0.000873,0.000269,0.002237,0.000955,0.001347,0.000522,0.001171,0.026887,0.074817,0.032948,0.015915,0.003944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L5__s20260819__0007.png,sceneD3,off,off,0.002477,0.001622,0.003271,0.002646,0.006169,0.016358,0.018424,0.020965,0.023001,0.013187,0.021186,0.017376,0.014832,0.012377,0.017766,0.114596,0.326571,0.227497,0.124273,0.040467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0000.png,sceneD3,off,off,0.000224,0.000128,0.000530,0.000423,0.000891,0.000813,0.000570,0.000603,0.000645,0.000422,0.003266,0.001558,0.001748,0.000363,0.000819,0.012668,0.043316,0.032544,0.010600,0.001831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0001.png,sceneD3,off,off,0.001374,0.001196,0.003675,0.002906,0.006275,0.005385,0.003764,0.003152,0.004737,0.003835,0.004895,0.002504,0.004308,0.001918,0.002496,0.008806,0.017787,0.019614,0.007139,0.001963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0002.png,sceneD3,off,off,0.000056,0.000020,0.000144,0.000063,0.000267,0.000098,0.000152,0.000153,0.000111,0.000055,0.000219,0.000275,0.001190,0.000227,0.000149,0.000813,0.003052,0.005635,0.002357,0.000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0003.png,sceneD3,off,off,0.000232,0.000128,0.000759,0.000421,0.001428,0.000227,0.000325,0.000282,0.000254,0.000090,0.000114,0.000112,0.000313,0.000099,0.000054,0.000277,0.000793,0.001547,0.000330,0.000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0004.png,sceneD3,off,off,0.000170,0.000105,0.000622,0.000380,0.000969,0.000281,0.000283,0.000248,0.000261,0.000148,0.000550,0.000131,0.000594,0.000258,0.000557,0.001143,0.004897,0.008008,0.003361,0.000276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0005.png,sceneD3,off,off,0.000067,0.000039,0.000176,0.000154,0.000322,0.000073,0.000130,0.000107,0.000083,0.000035,0.000088,0.000063,0.000244,0.000108,0.000105,0.000207,0.000352,0.000637,0.000384,0.000087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0006.png,sceneD3,off,off,0.000057,0.000028,0.000166,0.000104,0.000297,0.000066,0.000095,0.000083,0.000073,0.000028,0.000088,0.000043,0.000123,0.000045,0.000061,0.000431,0.000803,0.000896,0.000442,0.000091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/sceneD3/L7__s20260819__0007.png,sceneD3,off,off,0.007530,0.005375,0.010219,0.010332,0.022813,0.021797,0.040128,0.041476,0.055703,0.024161,0.008964,0.008353,0.010533,0.017354,0.024045,0.010434,0.021092,0.031072,0.034482,0.010285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on/scene08/L0__s20260819__0000.png,scene08,V,on,0.064124,0.053114,0.051047,0.053336,0.060814,0.857382,0.865214,0.895796,0.929710,0.859835,0.924764,0.968185,0.989664,0.933714,0.843668,0.904464,0.923108,0.911601,0.821324,0.885429,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
on/scene08/L0__s20260819__0001.png,scene08,V,on,0.010759,0.007079,0.010995,0.009850,0.019990,0.764593,0.782216,0.636144,0.729813,0.578036,0.726503,0.975302,0.985339,0.858649,0.607070,0.813407,0.982669,0.996200,0.967679,0.748182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
on/scene08/L0__s20260819__0002.png,scene08,V,on,0.006700,0.005047,0.006116,0.005723,0.010164,0.862916,0.872165,0.764908,0.853935,0.716987,0.499824,0.959138,0.987048,0.890267,0.706879,0.890845,0.993055,0.998740,0.994057,0.941617,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
on/scene08/L0__s20260819__0003.png,scene08,H_weak,on,0.000589,0.000210,0.000164,0.000176,0.000294,0.018950,0.007658,0.012688,0.016030,0.006467,0.494177,0.690330,0.719876,0.105465,0.024262,0.382770,0.680609,0.601904,0.505428,0.355671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
on/scene08/L0__s20260819__0004.png,scene08,V,on,0.051361,0.036335,0.047857,0.036673,0.072098,0.746610,0.670332,0.616776,0.751404,0.635162,0.364555,0.724084,0.921616,0.787485,0.460897,0.324302,0.752665,0.873224,0.772469,0.326998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
on/scene08/L0__s20260819__0005.png,scene08,V,on,0.041346,0.041755,0.057552,0.055525,0.103525,0.970562,0.984371,0.977042,0.988901,0.954694,0.513075,0.978673,0.993973,0.963510,0.765942,0.532913,0.917268,0.989178,0.965231,0.671828,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
