frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.004730,0.002691,0.002630,0.003826,0.005430,0.125742,0.128553,0.181237,0.194504,0.088670,0.298589,0.591314,0.839343,0.517378,0.145662,0.307505,0.521418,0.495124,0.375222,0.234771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.006337,0.003525,0.007162,0.004596,0.012760,0.033254,0.020415,0.021287,0.028565,0.027418,0.047230,0.053052,0.149785,0.098878,0.056681,0.060110,0.265731,0.412705,0.372646,0.079568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.001342,0.000535,0.001183,0.000744,0.002230,0.008501,0.002890,0.002398,0.004345,0.005428,0.019074,0.007209,0.022459,0.021406,0.044117,0.094095,0.500757,0.522963,0.603700,0.133296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.000692,0.000360,0.000531,0.000479,0.000740,0.012626,0.003173,0.007052,0.007677,0.003473,0.245714,0.225719,0.174473,0.013054,0.005727,0.103521,0.239059,0.169688,0.128685,0.052469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.032124,0.024915,0.053074,0.033384,0.067064,0.321435,0.252921,0.292795,0.372929,0.234897,0.055423,0.083608,0.220965,0.141942,0.083359,0.077805,0.337745,0.425795,0.345404,0.060648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.001784,0.001112,0.002208,0.001545,0.003793,0.027638,0.015199,0.019561,0.023032,0.010069,0.050319,0.081475,0.091038,0.014156,0.008010,0.092056,0.535086,0.566487,0.310680,0.050605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.001136,0.000547,0.001071,0.000865,0.002721,0.007504,0.004436,0.004611,0.005335,0.005203,0.003646,0.006288,0.031368,0.018326,0.006562,0.006450,0.036221,0.078152,0.069748,0.007377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000188,0.000110,0.000209,0.000166,0.000376,0.004564,0.001225,0.002068,0.001943,0.000565,0.078365,0.169328,0.163182,0.002900,0.000290,0.017417,0.062792,0.038431,0.009427,0.001471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.006974,0.004969,0.005845,0.007706,0.010134,0.144592,0.175363,0.334416,0.286373,0.115113,0.043551,0.144166,0.135417,0.044397,0.022495,0.343558,0.634540,0.542227,0.325103,0.265380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.001842,0.000836,0.003108,0.001682,0.005181,0.013705,0.005572,0.006351,0.007499,0.008058,0.018576,0.008095,0.013839,0.008190,0.010997,0.061934,0.419057,0.367446,0.230178,0.025554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
