frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.000040,0.000021,0.000058,0.000017,0.000093,0.000607,0.000202,0.000117,0.000153,0.000117,0.004087,0.000374,0.000088,0.000024,0.000016,0.882849,0.956695,0.160932,0.010367,0.003023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.003156,0.001449,0.001719,0.001184,0.002098,0.003135,0.002037,0.001491,0.002842,0.004385,0.015018,0.004301,0.009304,0.003438,0.014576,0.014662,0.016148,0.016992,0.016535,0.008566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.002223,0.000814,0.001315,0.000568,0.001631,0.003037,0.002591,0.002899,0.004447,0.003739,0.014440,0.003445,0.003434,0.000699,0.005221,0.185616,0.101046,0.048929,0.016708,0.013266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.000984,0.000451,0.000448,0.000471,0.001349,0.096844,0.090364,0.035358,0.095655,0.157695,0.419251,0.446709,0.317415,0.264523,0.173681,0.245239,0.258970,0.540122,0.418423,0.195249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.013335,0.009125,0.012070,0.009644,0.020814,0.095023,0.071420,0.087254,0.112509,0.151974,0.148283,0.195078,0.219329,0.098387,0.099688,0.314071,0.393706,0.356007,0.142053,0.069702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.000202,0.000044,0.000108,0.000049,0.000170,0.000363,0.000199,0.000127,0.000227,0.000297,0.007495,0.001232,0.000300,0.000045,0.000145,0.040291,0.081211,0.016292,0.001224,0.000774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.000740,0.000323,0.000582,0.000348,0.000899,0.002047,0.001074,0.000473,0.001787,0.003278,0.031237,0.002566,0.001915,0.000979,0.006885,0.052425,0.034205,0.011019,0.001854,0.001554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000055,0.000012,0.000024,0.000019,0.000077,0.002414,0.002136,0.000277,0.001846,0.003579,0.248351,0.029986,0.009451,0.003721,0.003656,0.030206,0.026283,0.058009,0.001629,0.001198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.000859,0.000284,0.000462,0.000270,0.000961,0.030847,0.008212,0.006504,0.004838,0.002745,0.087297,0.033996,0.004211,0.000781,0.000285,0.841743,0.965693,0.556465,0.111650,0.010874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.000168,0.000038,0.000076,0.000030,0.000132,0.000221,0.000064,0.000044,0.000087,0.000121,0.000745,0.000332,0.000169,0.000029,0.000040,0.151825,0.470059,0.196848,0.022493,0.002700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
