frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.000070,0.000033,0.000085,0.000031,0.000147,0.001611,0.000534,0.000361,0.000332,0.000240,0.005475,0.000935,0.000321,0.000054,0.000013,0.926527,0.967919,0.317105,0.020346,0.004686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.005352,0.002421,0.002904,0.001985,0.003528,0.008281,0.005381,0.004323,0.007720,0.008963,0.021803,0.009795,0.018987,0.007362,0.020184,0.036682,0.058640,0.056666,0.046728,0.017666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.002531,0.000955,0.001465,0.000653,0.001719,0.004049,0.003118,0.003725,0.005379,0.004000,0.015336,0.004859,0.005926,0.001352,0.006752,0.204055,0.130909,0.078460,0.029441,0.019586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.001403,0.000513,0.000492,0.000555,0.001708,0.127395,0.091583,0.035706,0.099529,0.123320,0.503525,0.424567,0.276873,0.251351,0.188892,0.369136,0.356914,0.543973,0.454082,0.221424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.015147,0.008799,0.011166,0.008641,0.020497,0.137293,0.071171,0.088794,0.123225,0.144347,0.155730,0.193785,0.187199,0.118800,0.109430,0.355345,0.519431,0.380494,0.200479,0.080847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.000476,0.000116,0.000229,0.000106,0.000378,0.000978,0.000413,0.000304,0.000536,0.000650,0.007756,0.001265,0.000387,0.000095,0.000350,0.063128,0.187885,0.031884,0.005293,0.002138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.002026,0.000949,0.001476,0.000968,0.002306,0.006706,0.003770,0.001814,0.006240,0.009497,0.051656,0.005846,0.005061,0.003138,0.019304,0.090838,0.075115,0.026373,0.007291,0.004688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000265,0.000082,0.000137,0.000123,0.000370,0.015912,0.012687,0.002138,0.009705,0.009370,0.630646,0.109370,0.039372,0.012356,0.012419,0.244018,0.191535,0.190214,0.011403,0.007119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.000532,0.000153,0.000239,0.000155,0.000609,0.043819,0.009023,0.006173,0.003709,0.002252,0.102553,0.049758,0.004796,0.000636,0.000089,0.911447,0.989748,0.793097,0.172617,0.009127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.000202,0.000049,0.000092,0.000033,0.000162,0.000411,0.000105,0.000074,0.000131,0.000178,0.000751,0.000303,0.000126,0.000029,0.000032,0.280210,0.712764,0.275331,0.049315,0.004885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000716,0.000279,0.000381,0.000164,0.000406,0.000798,0.000387,0.000463,0.000771,0.000686,0.002730,0.001015,0.002592,0.000227,0.001157,0.181379,0.137055,0.063466,0.009744,0.006300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0003.png,scene08,off,off,0.000851,0.000328,0.000333,0.000310,0.001071,0.040773,0.034138,0.012953,0.030454,0.046376,0.175561,0.127520,0.055824,0.028665,0.024912,0.556070,0.632103,0.630076,0.393973,0.152981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0004.png,scene08,off,off,0.040242,0.025710,0.027030,0.030955,0.069517,0.624374,0.427056,0.484548,0.488046,0.524739,0.701886,0.781970,0.715486,0.476838,0.386351,0.807389,0.869179,0.870382,0.734705,0.436831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0005.png,scene08,off,off,0.000398,0.000077,0.000189,0.000091,0.000311,0.001823,0.000585,0.000436,0.000416,0.000348,0.015296,0.006977,0.000968,0.000080,0.000052,0.212300,0.626636,0.161916,0.005825,0.000869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
