frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.022397,0.013152,0.011993,0.016419,0.014789,0.003913,0.022234,0.038059,0.012899,0.000679,0.011056,0.060692,0.310562,0.030606,0.017475,0.055281,0.004797,0.005708,0.000908,0.013451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.001518,0.000600,0.000728,0.000745,0.002372,0.000232,0.000740,0.000660,0.000748,0.000868,0.001826,0.000099,0.000020,0.000015,0.000160,0.000392,0.000681,0.001398,0.000110,0.000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.001874,0.000697,0.001298,0.000928,0.001118,0.001768,0.002055,0.000601,0.000319,0.000604,0.015074,0.000864,0.000672,0.000289,0.003001,0.011891,0.027843,0.003234,0.001016,0.001316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.002210,0.000744,0.000669,0.000483,0.000862,0.001928,0.003669,0.002300,0.001374,0.001578,0.002570,0.001195,0.004848,0.002810,0.004543,0.003424,0.001761,0.015550,0.006753,0.013375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.014598,0.004196,0.003993,0.003361,0.004704,0.010513,0.022276,0.018786,0.010077,0.015116,0.014501,0.002822,0.003048,0.007405,0.043717,0.000346,0.001498,0.006507,0.002979,0.001084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.000302,0.000070,0.000082,0.000102,0.000183,0.000074,0.000160,0.000129,0.000031,0.000019,0.000060,0.000057,0.000033,0.000015,0.000004,0.000010,0.000011,0.000022,0.000005,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.002882,0.001032,0.000936,0.001092,0.002165,0.000915,0.003199,0.002348,0.001142,0.000806,0.000944,0.000965,0.002640,0.000484,0.002056,0.000135,0.000102,0.000949,0.000114,0.000260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000124,0.000024,0.000024,0.000026,0.000105,0.001144,0.003834,0.002839,0.001915,0.000559,0.006070,0.009708,0.034567,0.005024,0.002463,0.000930,0.000277,0.001994,0.000246,0.000815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.008148,0.003599,0.004065,0.003722,0.004267,0.009727,0.028468,0.038467,0.010072,0.001350,0.006302,0.017460,0.044659,0.010627,0.003318,0.024768,0.013130,0.005759,0.001849,0.012169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.000011,0.000004,0.000005,0.000003,0.000019,0.000004,0.000004,0.000002,0.000002,0.000004,0.000007,0.000001,0.000000,0.000000,0.000000,0.000036,0.000100,0.000085,0.000103,0.000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000064,0.000025,0.000042,0.000024,0.000063,0.000119,0.000072,0.000009,0.000004,0.000010,0.000271,0.000010,0.000001,0.000000,0.000003,0.000036,0.000320,0.000059,0.000029,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0003.png,scene08,off,off,0.001168,0.000273,0.000345,0.000236,0.000537,0.002284,0.002779,0.001081,0.000483,0.000916,0.023295,0.010978,0.002359,0.001653,0.001524,0.039141,0.022348,0.032427,0.006723,0.015217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0004.png,scene08,off,off,0.001898,0.000493,0.000491,0.000370,0.000872,0.003485,0.003117,0.002870,0.002396,0.002663,0.002930,0.001294,0.001190,0.001838,0.009033,0.000270,0.002865,0.003676,0.003116,0.000667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0005.png,scene08,off,off,0.000985,0.000285,0.000401,0.000354,0.000592,0.001240,0.001384,0.000690,0.000196,0.000189,0.001393,0.000488,0.000139,0.000045,0.000047,0.000177,0.000281,0.000198,0.000084,0.000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0006.png,scene08,off,off,0.000018,0.000006,0.000008,0.000005,0.000015,0.000023,0.000016,0.000008,0.000003,0.000004,0.000005,0.000007,0.000001,0.000000,0.000001,0.000008,0.000027,0.000035,0.000014,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0007.png,scene08,off,off,0.000278,0.000255,0.000304,0.000256,0.000410,0.001482,0.002805,0.001250,0.000318,0.000121,0.000641,0.000850,0.000574,0.000042,0.000004,0.000831,0.000706,0.000630,0.000044,0.000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0000.png,scene08,off,off,0.009551,0.003949,0.004318,0.004438,0.005095,0.009959,0.020486,0.025534,0.007223,0.000597,0.012882,0.038216,0.099656,0.014970,0.008133,0.044015,0.007852,0.007401,0.003081,0.017731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0001.png,scene08,off,off,0.000208,0.000073,0.000125,0.000080,0.000383,0.000059,0.000087,0.000061,0.000085,0.000172,0.000299,0.000019,0.000004,0.000003,0.000019,0.000618,0.001088,0.002156,0.000959,0.000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0002.png,scene08,off,off,0.000445,0.000110,0.000163,0.000134,0.000349,0.000302,0.000449,0.000168,0.000071,0.000096,0.000358,0.000060,0.000021,0.000010,0.000016,0.000004,0.000033,0.000098,0.000011,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0003.png,scene08,off,off,0.003315,0.001446,0.001262,0.000807,0.000845,0.004848,0.009192,0.009586,0.006849,0.006823,0.003015,0.002714,0.005399,0.007629,0.014502,0.007978,0.006532,0.015460,0.009486,0.021242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0004.png,scene08,off,off,0.002524,0.000674,0.000631,0.000576,0.001198,0.001658,0.002173,0.002057,0.001308,0.002719,0.001617,0.000618,0.000219,0.000459,0.004076,0.000110,0.001207,0.001511,0.000509,0.000177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0005.png,scene08,off,off,0.000121,0.000031,0.000038,0.000027,0.000079,0.000025,0.000036,0.000030,0.000008,0.000007,0.000011,0.000007,0.000002,0.000001,0.000000,0.000005,0.000004,0.000033,0.000016,0.000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0006.png,scene08,off,off,0.001385,0.000500,0.000626,0.000673,0.001312,0.001312,0.002153,0.001620,0.000713,0.000411,0.001638,0.005015,0.005594,0.000304,0.000591,0.003063,0.001947,0.001256,0.000228,0.000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0007.png,scene08,off,off,0.000177,0.000062,0.000076,0.000059,0.000118,0.003676,0.002727,0.002144,0.000799,0.000633,0.001050,0.001241,0.000714,0.000460,0.000127,0.000741,0.000479,0.000752,0.000214,0.000361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
