frame_id,scene_id,tier,toggle_state,p_A1,p_B1,p_C1,p_D1,p_E1,p_A2,p_B2,p_C2,p_D2,p_E2,p_A3a,p_B3a,p_C3a,p_D3a,p_E3a,p_A3b,p_B3b,p_C3b,p_D3b,p_E3b,g_A1,g_B1,g_C1,g_D1,g_E1,g_A2,g_B2,g_C2,g_D2,g_E2,g_A3a,g_B3a,g_C3a,g_D3a,g_E3a,g_A3b,g_B3b,g_C3b,g_D3b,g_E3b
off/scene08/L0__s20260819__0000.png,scene08,off,off,0.020271,0.010893,0.010298,0.015550,0.015308,0.007292,0.029435,0.031180,0.012352,0.001107,0.049707,0.160951,0.684118,0.110508,0.058449,0.225200,0.036862,0.039237,0.006913,0.046525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0001.png,scene08,off,off,0.004440,0.002211,0.002827,0.002637,0.006733,0.000858,0.002227,0.002316,0.002963,0.003516,0.007107,0.000320,0.000065,0.000038,0.001073,0.002402,0.003040,0.003710,0.000273,0.000138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0002.png,scene08,off,off,0.004887,0.002073,0.003662,0.002443,0.002174,0.007308,0.006369,0.002255,0.001517,0.003028,0.025914,0.001137,0.001295,0.000932,0.015477,0.043475,0.135420,0.012444,0.007839,0.007224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0003.png,scene08,off,off,0.006289,0.001634,0.001710,0.001311,0.001965,0.011287,0.015211,0.005546,0.005783,0.008268,0.016179,0.003768,0.009034,0.010445,0.040201,0.009843,0.009191,0.037754,0.017048,0.031114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0004.png,scene08,off,off,0.033002,0.012531,0.012036,0.010293,0.011021,0.043265,0.064926,0.048228,0.037810,0.055632,0.121688,0.019049,0.028380,0.050099,0.275406,0.009754,0.035408,0.022886,0.015789,0.012303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0005.png,scene08,off,off,0.001375,0.000373,0.000458,0.000586,0.000700,0.000853,0.001461,0.001169,0.000401,0.000236,0.001029,0.000440,0.000353,0.000193,0.000147,0.000155,0.000132,0.000100,0.000028,0.000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0006.png,scene08,off,off,0.005320,0.001878,0.001817,0.002194,0.003985,0.002349,0.009491,0.005716,0.003776,0.002176,0.004487,0.002236,0.010876,0.001652,0.009652,0.000274,0.000205,0.002123,0.000233,0.000539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L0__s20260819__0007.png,scene08,off,off,0.000642,0.000145,0.000176,0.000185,0.000632,0.007746,0.026874,0.013864,0.017069,0.005971,0.056012,0.045201,0.208963,0.028960,0.032438,0.011469,0.005034,0.016806,0.001350,0.006252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0000.png,scene08,off,off,0.011384,0.005230,0.006111,0.005121,0.005262,0.026224,0.077653,0.107595,0.033923,0.005972,0.013039,0.045231,0.296031,0.111301,0.015079,0.058677,0.056911,0.029974,0.014870,0.042734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0001.png,scene08,off,off,0.000039,0.000015,0.000023,0.000014,0.000059,0.000023,0.000017,0.000007,0.000008,0.000023,0.000061,0.000004,0.000000,0.000000,0.000002,0.000206,0.000391,0.000148,0.000173,0.000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0002.png,scene08,off,off,0.000146,0.000060,0.000104,0.000060,0.000119,0.000339,0.000180,0.000028,0.000011,0.000029,0.000874,0.000016,0.000002,0.000001,0.000010,0.000108,0.000832,0.000097,0.000032,0.000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0003.png,scene08,off,off,0.000800,0.000128,0.000182,0.000102,0.000269,0.003131,0.003646,0.001049,0.000655,0.001373,0.034487,0.013596,0.003974,0.005826,0.006228,0.049394,0.049312,0.113693,0.042279,0.039794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0004.png,scene08,off,off,0.008281,0.002316,0.002577,0.001914,0.003056,0.018268,0.017200,0.019536,0.014782,0.017484,0.015644,0.004216,0.005603,0.012916,0.067696,0.001120,0.016997,0.010899,0.006052,0.001598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0005.png,scene08,off,off,0.000882,0.000251,0.000363,0.000334,0.000522,0.002081,0.002014,0.001107,0.000299,0.000315,0.002640,0.000557,0.000148,0.000056,0.000099,0.000275,0.000557,0.000263,0.000101,0.000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0006.png,scene08,off,off,0.000049,0.000019,0.000024,0.000018,0.000040,0.000057,0.000052,0.000031,0.000011,0.000014,0.000015,0.000013,0.000003,0.000001,0.000002,0.000015,0.000052,0.000069,0.000014,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L5__s20260819__0007.png,scene08,off,off,0.000436,0.000443,0.000501,0.000432,0.000653,0.005862,0.010278,0.003556,0.000937,0.000392,0.003097,0.003454,0.003521,0.000164,0.000024,0.003447,0.004696,0.003317,0.000187,0.000284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0000.png,scene08,off,off,0.026790,0.012687,0.013960,0.016177,0.012253,0.032521,0.072859,0.077483,0.021906,0.002592,0.097969,0.105516,0.389294,0.123951,0.060576,0.150443,0.033265,0.030187,0.017431,0.052274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0001.png,scene08,off,off,0.000450,0.000176,0.000340,0.000234,0.000898,0.000178,0.000256,0.000172,0.000229,0.000368,0.001223,0.000051,0.000011,0.000003,0.000043,0.001455,0.002631,0.001872,0.000406,0.000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0002.png,scene08,off,off,0.002118,0.000630,0.001113,0.000860,0.001219,0.002287,0.003197,0.001000,0.000438,0.000649,0.005596,0.000351,0.000130,0.000050,0.000247,0.000120,0.000844,0.000356,0.000045,0.000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0003.png,scene08,off,off,0.012611,0.004524,0.004646,0.003041,0.002507,0.030159,0.037046,0.022943,0.021424,0.027261,0.042841,0.017817,0.033834,0.063073,0.185240,0.069971,0.076847,0.070140,0.070538,0.134203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0004.png,scene08,off,off,0.013767,0.004318,0.004975,0.004101,0.005229,0.013688,0.015832,0.015147,0.011356,0.020799,0.019272,0.005691,0.003536,0.006195,0.063295,0.002360,0.024212,0.008357,0.004698,0.002230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0005.png,scene08,off,off,0.000181,0.000043,0.000055,0.000041,0.000106,0.000049,0.000078,0.000061,0.000018,0.000016,0.000025,0.000006,0.000003,0.000001,0.000001,0.000004,0.000004,0.000035,0.000013,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0006.png,scene08,off,off,0.002893,0.000844,0.001155,0.001280,0.002378,0.004985,0.005497,0.003623,0.001955,0.001302,0.010397,0.022463,0.041576,0.003051,0.006327,0.012424,0.018937,0.010601,0.002356,0.003325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene08/L7__s20260819__0007.png,scene08,off,off,0.000976,0.000443,0.000575,0.000461,0.000718,0.019528,0.015781,0.009669,0.004360,0.003856,0.011228,0.004895,0.005554,0.002183,0.001480,0.003270,0.002803,0.002672,0.000503,0.001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0000.png,scene20,off,off,0.000232,0.000086,0.000078,0.000076,0.000150,0.000021,0.000025,0.000030,0.000014,0.000011,0.000020,0.000009,0.000005,0.000006,0.000007,0.000067,0.000028,0.000088,0.000033,0.000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0001.png,scene20,off,off,0.000196,0.000106,0.000126,0.000089,0.000174,0.000008,0.000027,0.000075,0.000026,0.000010,0.000014,0.000002,0.000001,0.000001,0.000001,0.000145,0.000026,0.000084,0.000009,0.000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0002.png,scene20,off,off,0.000007,0.000002,0.000002,0.000001,0.000008,0.000003,0.000007,0.000008,0.000004,0.000004,0.000004,0.000000,0.000000,0.000001,0.000001,0.000188,0.000053,0.000598,0.000168,0.000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0003.png,scene20,off,off,0.000133,0.000041,0.000032,0.000030,0.000068,0.000001,0.000003,0.000007,0.000004,0.000005,0.000008,0.000003,0.000008,0.000014,0.000013,0.000012,0.000002,0.000029,0.000026,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0004.png,scene20,off,off,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000114,0.000057,0.000336,0.000245,0.000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0005.png,scene20,off,off,0.000707,0.000287,0.000435,0.000307,0.000337,0.000195,0.000540,0.002110,0.000356,0.000088,0.000372,0.000317,0.000319,0.000096,0.000204,0.007436,0.000276,0.000066,0.000028,0.002701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0006.png,scene20,off,off,0.000001,0.000000,0.000000,0.000000,0.000001,0.000010,0.000016,0.000012,0.000005,0.000003,0.000005,0.000003,0.000000,0.000000,0.000000,0.000032,0.000045,0.000148,0.000025,0.000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L0__s20260819__0007.png,scene20,off,off,0.001743,0.001596,0.002046,0.001769,0.000483,0.000250,0.000767,0.008407,0.000638,0.000199,0.000154,0.000052,0.000042,0.000011,0.000006,0.100551,0.000629,0.000178,0.000400,0.026722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0000.png,scene20,off,off,0.004232,0.001866,0.001973,0.001721,0.001255,0.000342,0.001055,0.001959,0.000803,0.000893,0.001621,0.000106,0.000125,0.001503,0.005227,0.014114,0.003801,0.004753,0.002831,0.013757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0001.png,scene20,off,off,0.000420,0.000197,0.000288,0.000138,0.000244,0.000031,0.000101,0.000254,0.000134,0.000052,0.000342,0.000069,0.000119,0.000117,0.000240,0.009329,0.000586,0.004283,0.003836,0.011425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0002.png,scene20,off,off,0.000146,0.000071,0.000078,0.000022,0.000082,0.000114,0.000540,0.000861,0.000419,0.000306,0.000220,0.000085,0.000182,0.000286,0.000795,0.104586,0.005605,0.037649,0.036116,0.184667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0003.png,scene20,off,off,0.000775,0.000342,0.000266,0.000219,0.000315,0.000017,0.000043,0.000102,0.000070,0.000090,0.000035,0.000005,0.000006,0.000055,0.000115,0.000156,0.000042,0.000591,0.000358,0.000678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0004.png,scene20,off,off,0.000045,0.000015,0.000013,0.000005,0.000023,0.000100,0.000084,0.000053,0.000062,0.000065,0.000045,0.000011,0.000002,0.000008,0.000008,0.022489,0.013517,0.037802,0.045799,0.011838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0005.png,scene20,off,off,0.006736,0.002920,0.004313,0.002241,0.001317,0.000703,0.001532,0.006641,0.001785,0.000808,0.001879,0.001839,0.008077,0.013752,0.044465,0.223731,0.005484,0.001077,0.004583,0.272058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
off/scene20/L5__s20260819__0006.png,scene20,off,off,0.000004,0.000001,0.000001,0.000000,0.000002,0.000040,0.000037,0.000010,0.000006,0.000007,0.000023,0.000033,0.000001,0.000003,0.000000,0.000192,0.000059,0.000168,0.000047,0.000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
