scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,40,0.984382,0.005153,0.979229,0.984382,0.005153,0.979229,0.014476,0.00048,0.013996,0.151929,0.000403,0.15152600000000002,0.829598,0.000272,0.8293259999999999,0.984382,0.005153,0.979229
scene05,L0__s20260819__0001.png,V,True,,8,0.977278,0.385872,0.591406,0.977278,0.385872,0.591406,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.977278,0.385872,0.591406
scene05,L0__s20260819__0002.png,V,True,,9,0.987813,0.208189,0.7796240000000001,0.987813,0.208189,0.7796240000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.987813,0.208189,0.7796240000000001
scene05,L0__s20260819__0003.png,V,True,,30,0.993955,0.010344,0.983611,0.993955,0.010344,0.983611,nan,nan,nan,0.013179,0.000181,0.012998,0.637451,0.000303,0.6371479999999999,0.993955,0.010344,0.983611
scene05,L0__s20260819__0004.png,V,True,,40,0.774635,0.008013,0.7666219999999999,0.774635,0.008013,0.7666219999999999,0.06854,0.000551,0.06798900000000001,0.421845,0.000465,0.42138000000000003,0.76272,0.000213,0.7625069999999999,0.774635,0.008013,0.7666219999999999
scene05,L0__s20260819__0005.png,V,True,,40,0.810043,0.028005,0.782038,0.810043,0.028005,0.782038,0.104818,0.000507,0.104311,0.070822,0.00025,0.070572,0.290707,0.000532,0.290175,0.810043,0.028005,0.782038
scene05,L0__s20260819__0006.png,V,True,,30,0.999045,0.04958,0.949465,0.999045,0.04958,0.949465,nan,nan,nan,0.266508,0.000272,0.26623600000000003,0.78462,0.000254,0.784366,0.999045,0.04958,0.949465
scene05,L0__s20260819__0007.png,V,True,,30,0.980875,0.009522,0.971353,0.980875,0.009522,0.971353,nan,nan,nan,0.095128,0.000234,0.094894,0.416695,0.000524,0.41617099999999996,0.980875,0.009522,0.971353
scene05,L0__s20260820__0000.png::boost_e,V,True,,19,0.962813,0.008175,0.954638,0.962813,0.008175,0.954638,nan,nan,nan,nan,nan,nan,0.077067,0.000104,0.07696299999999999,0.962813,0.008175,0.954638
scene05,L0__s20260820__0001.png::boost_e,V,True,,9,0.984597,0.804731,0.17986600000000008,0.984597,0.804731,0.17986600000000008,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.984597,0.804731,0.17986600000000008
scene05,L0__s20260820__0002.png::boost_e,V,True,,16,0.998659,0.946685,0.051973999999999965,0.998659,0.946685,0.051973999999999965,nan,nan,nan,nan,nan,nan,0.812053,0.103627,0.708426,0.998659,0.946685,0.051973999999999965
scene05,L0__s20260820__0003.png::boost_e,V,True,,24,0.997759,0.052576,0.945183,0.997759,0.052576,0.945183,nan,nan,nan,0.041722,0.000105,0.041617,0.893429,0.000526,0.892903,0.997759,0.052576,0.945183
scene05,L0__s20260820__0004.png::boost_e,V,True,,24,0.99784,0.176377,0.8214629999999999,0.99784,0.176377,0.8214629999999999,nan,nan,nan,0.102975,0.000176,0.102799,0.917508,0.002551,0.914957,0.99784,0.176377,0.8214629999999999
scene05,L0__s20260820__0005.png::boost_e,V,True,,24,0.998563,0.086108,0.912455,0.998563,0.086108,0.912455,nan,nan,nan,0.037997,6.3e-05,0.037934,0.88101,0.000359,0.880651,0.998563,0.086108,0.912455
scene05,L0__s20260820__0006.png::boost_e,V,True,,9,0.87132,0.097639,0.773681,0.87132,0.097639,0.773681,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.87132,0.097639,0.773681
scene05,L0__s20260820__0007.png::boost_e,V,True,,19,0.969244,0.002214,0.96703,0.969244,0.002214,0.96703,nan,nan,nan,nan,nan,nan,0.088858,0.000264,0.088594,0.969244,0.002214,0.96703
scene05,L0__s20260821__0000.png::boost_e2,V,True,,18,0.812858,0.001547,0.811311,0.812858,0.001547,0.811311,nan,nan,nan,nan,nan,nan,0.039834,0.000148,0.039686,0.812858,0.001547,0.811311
scene05,L0__s20260821__0001.png::boost_e2,V,True,,17,0.126297,0.01236,0.113937,0.126297,0.01236,0.113937,nan,nan,nan,nan,nan,nan,0.000635,0.000283,0.00035200000000000005,0.126297,0.01236,0.113937
scene05,L0__s20260821__0002.png::boost_e2,V,True,,26,0.165157,0.000603,0.164554,0.165157,0.000724,0.164433,nan,nan,nan,0.000211,0.000275,-6.400000000000001e-05,0.000807,0.000412,0.000395,0.165157,0.000603,0.164554
scene05,L0__s20260821__0003.png::boost_e2,V,True,,15,0.960387,0.001624,0.958763,0.960387,0.001624,0.958763,nan,nan,nan,nan,nan,nan,0.058676,0.000204,0.058471999999999996,0.960387,0.001624,0.958763
scene05,L0__s20260821__0004.png::boost_e2,V,True,,30,0.98137,0.011812,0.9695579999999999,0.98137,0.011812,0.9695579999999999,nan,nan,nan,0.002674,0.000293,0.0023810000000000003,0.074889,0.000708,0.074181,0.98137,0.011812,0.9695579999999999
scene05,L0__s20260821__0005.png::boost_e2,V,True,,28,0.048395,0.004198,0.044197,0.048395,0.004198,0.044197,nan,nan,nan,0.000518,0.000177,0.00034100000000000005,0.001937,0.000205,0.001732,0.048395,0.004198,0.044197
scene05,L0__s20260821__0006.png::boost_e2,V,True,,27,0.844158,0.002514,0.841644,0.844158,0.002514,0.841644,nan,nan,nan,0.000459,9.5e-05,0.00036399999999999996,0.019473,0.000198,0.019275,0.844158,0.002514,0.841644
scene05,L0__s20260821__0007.png::boost_e2,V,True,,29,0.937503,0.009924,0.9275789999999999,0.937503,0.009924,0.9275789999999999,nan,nan,nan,0.001116,0.000284,0.0008320000000000001,0.03062,0.000413,0.030207,0.937503,0.009924,0.9275789999999999
scene05,L5__s20260819__0000.png,V,True,,40,0.848475,0.002888,0.845587,0.848475,0.002888,0.845587,0.010453,0.000718,0.009735,0.052179,0.000597,0.051582,0.570724,0.000228,0.570496,0.848475,0.002888,0.845587
scene05,L5__s20260819__0001.png,V,True,,8,0.967128,0.521407,0.44572100000000003,0.967128,0.521407,0.44572100000000003,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.967128,0.521407,0.44572100000000003
scene05,L5__s20260819__0002.png,V,True,,9,0.977341,0.861009,0.11633199999999999,0.977341,0.861009,0.11633199999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.977341,0.861009,0.11633199999999999
scene05,L5__s20260819__0003.png,V,True,,30,0.99242,0.003229,0.9891909999999999,0.99242,0.003229,0.9891909999999999,nan,nan,nan,0.026008,0.000319,0.025689,0.84772,0.000241,0.847479,0.99242,0.003229,0.9891909999999999
scene05,L5__s20260819__0004.png,V,True,,40,0.856168,0.00325,0.8529180000000001,0.856168,0.00325,0.8529180000000001,0.079696,0.000804,0.078892,0.774258,0.000583,0.773675,0.856168,0.000245,0.855923,0.788165,0.00325,0.784915
scene05,L5__s20260819__0005.png,V,True,,40,0.721852,0.298431,0.42342100000000005,0.721852,0.298431,0.42342100000000005,0.038865,0.000657,0.038208,0.050895,0.000421,0.050474000000000005,0.226239,0.001465,0.224774,0.721852,0.298431,0.42342100000000005
scene05,L5__s20260819__0006.png,V,True,,30,0.992231,0.268473,0.7237579999999999,0.992231,0.268473,0.7237579999999999,nan,nan,nan,0.141468,0.000472,0.140996,0.798496,0.001176,0.79732,0.992231,0.268473,0.7237579999999999
scene05,L5__s20260819__0007.png,V,True,,30,0.996438,0.58635,0.410088,0.996438,0.58635,0.410088,nan,nan,nan,0.286209,0.000357,0.285852,0.749452,0.00166,0.747792,0.996438,0.58635,0.410088
scene05,L5__s20260820__0000.png::boost_e,V,True,,19,0.917036,0.014794,0.902242,0.917036,0.014794,0.902242,nan,nan,nan,nan,nan,nan,0.333067,0.000163,0.332904,0.917036,0.014794,0.902242
scene05,L5__s20260820__0001.png::boost_e,V,True,,9,0.957355,0.744339,0.21301599999999998,0.957355,0.744339,0.21301599999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.957355,0.744339,0.21301599999999998
scene05,L5__s20260820__0002.png::boost_e,V,True,,16,0.995481,0.956561,0.038919999999999955,0.995481,0.956561,0.038919999999999955,nan,nan,nan,nan,nan,nan,0.69385,0.417658,0.276192,0.995481,0.956561,0.038919999999999955
scene05,L5__s20260820__0003.png::boost_e,V,True,,24,0.971935,0.504642,0.46729299999999996,0.971935,0.504642,0.46729299999999996,nan,nan,nan,0.010632,0.000128,0.010504000000000001,0.857614,0.000853,0.856761,0.971935,0.504642,0.46729299999999996
scene05,L5__s20260820__0004.png::boost_e,V,True,,24,0.988977,0.528819,0.46015799999999996,0.988977,0.528819,0.46015799999999996,nan,nan,nan,0.007882,0.000176,0.007706,0.266444,0.000791,0.26565300000000003,0.988977,0.528819,0.46015799999999996
