epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.266934,0.273425,0.435257,0.446043,0.073522,6.000e-05,25.48,0.500000,0.467629
2,0.152295,0.318103,0.467345,0.569145,0.105560,5.960e-05,24.93,0.666667,0.567006
3,0.109045,0.474108,0.439506,0.711431,0.185899,5.920e-05,24.99,1.000000,0.719753
4,0.084109,0.340366,0.392999,0.394884,0.074886,5.880e-05,25.39,0.833333,0.613166
5,0.067990,0.349739,0.400291,0.440448,0.092609,5.840e-05,25.49,0.166667,0.283479
6,0.061580,0.344781,0.430757,0.427658,0.067972,5.800e-05,25.59,0.166667,0.298712
7,0.045070,0.445597,0.432180,0.553957,0.122992,5.760e-05,25.50,1.000000,0.716090
8,0.046157,0.424811,0.389970,0.360512,0.059499,5.720e-05,25.14,0.500000,0.444985
9,0.044956,0.499745,0.482163,0.691447,0.143344,5.680e-05,25.35,1.000000,0.741081
10,0.036530,0.457983,0.449383,0.509193,0.092219,5.640e-05,25.38,1.000000,0.724691
11,0.029576,0.425769,0.458082,0.545963,0.102055,5.600e-05,25.12,1.000000,0.729041
12,0.028656,0.498586,0.387309,0.424460,0.093485,5.560e-05,25.37,1.000000,0.693654
13,0.021828,0.455435,0.408857,0.413269,0.074107,5.520e-05,25.48,1.000000,0.704429
14,0.024287,0.465265,0.407890,0.462830,0.098257,5.480e-05,25.34,0.666667,0.537278
15,0.022159,0.486568,0.261967,0.199041,0.039050,5.440e-05,25.20,0.333333,0.297650
16,0.020385,0.503588,0.315026,0.243006,0.036518,5.400e-05,25.42,0.166667,0.240846
17,0.022410,0.502716,0.366741,0.394884,0.092414,5.360e-05,25.34,1.000000,0.683370
18,0.020139,0.510990,0.435393,0.495604,0.095141,5.320e-05,25.42,0.833333,0.634363
19,0.014245,0.519934,0.392003,0.399680,0.077904,5.280e-05,25.34,0.500000,0.446002
20,0.016035,0.571043,0.294547,0.274181,0.071575,5.240e-05,25.50,0.333333,0.313940
21,0.014363,0.638771,0.280685,0.229416,0.049372,5.200e-05,25.27,0.666667,0.473676
22,0.012510,0.630939,0.268790,0.215827,0.047522,5.160e-05,25.45,0.666667,0.467729
23,0.031034,0.480833,0.425037,0.453237,0.082773,5.120e-05,25.23,0.666667,0.545852
24,0.018314,0.648211,0.462608,0.665068,0.147434,5.080e-05,25.30,0.833333,0.647971
