epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.264403,0.293438,0.545760,0.779376,0.131171,3.000e-04,9.66,1.000000,0.772880
2,0.200520,0.445772,0.099099,0.052758,0.001461,2.980e-04,9.16,0.000000,0.049550
3,0.208868,0.207055,0.699670,0.762590,0.050833,2.960e-04,8.84,1.000000,0.849835
4,0.183891,0.235767,0.560117,0.458034,0.021618,2.940e-04,9.09,0.000000,0.280059
5,0.167682,0.249515,0.641430,0.731415,0.066900,2.920e-04,8.86,1.000000,0.820715
6,0.164595,0.241135,0.609062,0.693046,0.070990,2.900e-04,8.91,0.500000,0.554531
7,0.149630,0.232230,0.614657,0.623501,0.049372,2.880e-04,8.91,0.500000,0.557329
8,0.145913,0.257855,0.605650,0.642686,0.058428,2.860e-04,8.96,0.500000,0.552825
9,0.138041,0.252897,0.525714,0.551559,0.066608,2.840e-04,8.93,1.000000,0.762857
10,0.118447,0.291833,0.595186,0.652278,0.065732,2.820e-04,8.88,0.500000,0.547593
11,0.119359,0.330936,0.426887,0.434053,0.073035,2.800e-04,8.88,0.000000,0.213443
12,0.110085,0.325675,0.489316,0.549161,0.084721,2.780e-04,8.85,1.000000,0.744658
13,0.098326,0.299850,0.592672,0.659472,0.068945,2.760e-04,8.89,1.000000,0.796336
14,0.094112,0.251369,0.591611,0.642686,0.064563,2.740e-04,8.88,1.000000,0.795806
15,0.095929,0.302666,0.611892,0.678657,0.065732,2.720e-04,8.85,1.000000,0.805946
16,0.093140,0.335954,0.526646,0.604317,0.084137,2.700e-04,8.91,1.000000,0.763323
17,0.085557,0.371754,0.525455,0.693046,0.115104,2.680e-04,8.89,1.000000,0.762727
18,0.072150,0.277314,0.574423,0.657074,0.076833,2.660e-04,8.90,1.000000,0.787212
