scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,40,0.999992,0.002127,0.997865,0.999992,0.002127,0.997865,0.024719,0.0002,0.024519000000000003,0.999977,0.000204,0.999773,0.999992,0.000336,0.999656,0.999809,0.002127,0.997682
scene05,L0__s20260819__0001.png,V,True,,8,0.998091,0.066148,0.931943,0.998091,0.066148,0.931943,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.998091,0.066148,0.931943
scene05,L0__s20260819__0002.png,V,True,,9,0.964626,0.030496,0.93413,0.964626,0.030496,0.93413,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.964626,0.030496,0.93413
scene05,L0__s20260819__0003.png,V,True,,30,0.999952,0.000801,0.9991509999999999,0.999952,0.000801,0.9991509999999999,nan,nan,nan,0.999514,4e-05,0.999474,0.999952,3.3e-05,0.999919,0.999748,0.000801,0.9989469999999999
scene05,L0__s20260819__0004.png,V,True,,40,0.346687,0.008069,0.33861800000000003,0.346687,0.008069,0.33861800000000003,0.029879,0.000226,0.029653,0.346687,0.000295,0.34639200000000003,0.168123,0.000275,0.167848,0.105321,0.008069,0.097252
scene05,L0__s20260819__0005.png,V,True,,40,0.40689,0.005116,0.40177399999999996,0.40689,0.005116,0.40177399999999996,0.00803,0.000155,0.007875,0.057602,0.000143,0.057459,0.049475,0.000158,0.049317,0.40689,0.005116,0.40177399999999996
scene05,L0__s20260819__0006.png,V,True,,30,0.981152,0.01513,0.966022,0.981152,0.01513,0.966022,nan,nan,nan,0.835114,0.001118,0.8339960000000001,0.981152,0.001397,0.979755,0.92404,0.01513,0.90891
scene05,L0__s20260819__0007.png,V,True,,30,0.253085,0.005281,0.247804,0.253085,0.005281,0.247804,nan,nan,nan,0.253085,0.000126,0.252959,0.062539,0.000146,0.062393,0.027926,0.005281,0.022645
scene05,L0__s20260820__0000.png::boost_e,V,True,,19,0.998986,0.000173,0.9988130000000001,0.998986,0.000294,0.998692,nan,nan,nan,nan,nan,nan,0.998986,0.000121,0.998865,0.986803,0.000173,0.98663
scene05,L0__s20260820__0001.png::boost_e,V,True,,9,0.909805,0.038325,0.87148,0.909805,0.038325,0.87148,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.909805,0.038325,0.87148
scene05,L0__s20260820__0002.png::boost_e,V,True,,16,0.996355,0.036339,0.960016,0.996355,0.036339,0.960016,nan,nan,nan,nan,nan,nan,0.939884,0.001605,0.9382790000000001,0.996355,0.036339,0.960016
scene05,L0__s20260820__0003.png::boost_e,V,True,,24,0.99989,0.018911,0.9809789999999999,0.99989,0.018911,0.9809789999999999,nan,nan,nan,0.940407,0.00078,0.939627,0.99989,0.002194,0.9976959999999999,0.999217,0.018911,0.980306
scene05,L0__s20260820__0004.png::boost_e,V,True,,24,0.999193,0.003278,0.995915,0.999193,0.003278,0.995915,nan,nan,nan,0.434648,0.00014,0.434508,0.999193,0.000686,0.998507,0.994063,0.003278,0.990785
scene05,L0__s20260820__0005.png::boost_e,V,True,,24,0.999,0.007583,0.991417,0.999,0.007583,0.991417,nan,nan,nan,0.037277,9.7e-05,0.03718,0.998871,0.000416,0.998455,0.999,0.007583,0.991417
