epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.301928,0.337899,0.420201,0.518785,0.115785,3.000e-04,24.07,0.500000,0.460100
2,0.213116,0.245554,0.411088,0.314149,0.026098,2.980e-04,24.18,0.333333,0.372211
3,0.194896,0.320397,0.329480,0.318945,0.075178,2.960e-04,24.00,0.833333,0.581407
4,0.159565,0.354866,0.430352,0.621103,0.154153,2.940e-04,23.80,0.833333,0.631843
5,0.141959,0.245576,0.328375,0.229416,0.020450,2.920e-04,23.58,0.000000,0.164188
6,0.129313,0.235806,0.480383,0.401279,0.032817,2.900e-04,23.52,0.333333,0.406858
7,0.110998,0.326591,0.463454,0.461231,0.064466,2.880e-04,23.64,0.333333,0.398394
8,0.097588,0.322830,0.369048,0.371703,0.078294,2.860e-04,23.66,0.666667,0.517857
9,0.081567,0.357227,0.403788,0.426059,0.083358,2.840e-04,23.59,1.000000,0.701894
10,0.073898,0.331882,0.498012,0.550759,0.080534,2.820e-04,23.59,1.000000,0.749006
11,0.083697,0.241421,0.482440,0.417266,0.038076,2.800e-04,23.57,1.000000,0.741220
12,0.066946,0.298751,0.493809,0.525979,0.073620,2.780e-04,23.68,0.833333,0.663571
13,0.062312,0.258731,0.548474,0.567546,0.061155,2.760e-04,23.56,1.000000,0.774237
14,0.056633,0.304265,0.438053,0.395683,0.050054,2.740e-04,23.55,1.000000,0.719027
15,0.047092,0.345236,0.435825,0.494005,0.094167,2.720e-04,23.58,1.000000,0.717913
16,0.046307,0.243952,0.466844,0.422062,0.047035,2.700e-04,23.56,1.000000,0.733422
