scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,40,0.979016,0.028564,0.950452,0.979016,0.028564,0.950452,0.423714,0.006533,0.41718099999999997,0.979016,0.028564,0.950452,0.840456,0.005326,0.8351299999999999,0.630806,0.020111,0.610695
scene05,L0__s20260819__0001.png,V,True,,8,0.541244,0.077731,0.46351299999999995,0.541244,0.077731,0.46351299999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.541244,0.077731,0.46351299999999995
scene05,L0__s20260819__0002.png,V,True,,9,0.624156,0.045442,0.5787140000000001,0.624156,0.045442,0.5787140000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.624156,0.045442,0.5787140000000001
scene05,L0__s20260819__0003.png,V,True,,30,0.987594,0.006244,0.98135,0.987594,0.006244,0.98135,nan,nan,nan,0.987594,0.000628,0.986966,0.944376,0.000316,0.94406,0.907806,0.006244,0.901562
scene05,L0__s20260819__0004.png,V,True,,40,0.865592,0.066908,0.7986840000000001,0.865592,0.066908,0.7986840000000001,0.029307,0.000235,0.029072,0.797067,0.000712,0.7963549999999999,0.865592,0.000401,0.865191,0.760601,0.066908,0.693693
scene05,L0__s20260819__0005.png,V,True,,40,0.653407,0.041274,0.6121329999999999,0.653407,0.041274,0.6121329999999999,0.058232,0.00013,0.058102,0.608618,0.000195,0.608423,0.653407,0.000211,0.653196,0.597763,0.041274,0.556489
scene05,L0__s20260819__0006.png,V,True,,30,0.982611,0.052393,0.930218,0.982611,0.052393,0.930218,nan,nan,nan,0.81578,3e-06,0.815777,0.952193,1.1e-05,0.952182,0.982611,0.052393,0.930218
scene05,L0__s20260819__0007.png,V,True,,30,0.978991,0.032986,0.946005,0.978991,0.032986,0.946005,nan,nan,nan,0.935609,1.8e-05,0.9355910000000001,0.978991,7.1e-05,0.9789199999999999,0.963914,0.032986,0.9309280000000001
scene05,L0__s20260820__0000.png::boost_e,V,True,,19,0.647814,0.000253,0.647561,0.647814,0.000253,0.647561,nan,nan,nan,nan,nan,nan,0.479691,4e-06,0.479687,0.647814,0.000253,0.647561
scene05,L0__s20260820__0001.png::boost_e,V,True,,9,0.410902,0.147535,0.263367,0.410902,0.147535,0.263367,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.410902,0.147535,0.263367
scene05,L0__s20260820__0002.png::boost_e,V,True,,16,0.351774,0.003197,0.34857699999999997,0.351774,0.003197,0.34857699999999997,nan,nan,nan,nan,nan,nan,0.306364,0.000544,0.30582000000000004,0.351774,0.003197,0.34857699999999997
scene05,L0__s20260820__0003.png::boost_e,V,True,,24,0.965562,0.001363,0.964199,0.965562,0.001363,0.964199,nan,nan,nan,0.618372,1e-06,0.618371,0.965562,7e-06,0.965555,0.939363,0.001363,0.938
scene05,L0__s20260820__0004.png::boost_e,V,True,,24,0.610552,0.001146,0.609406,0.610552,0.001146,0.609406,nan,nan,nan,0.116951,3e-06,0.116948,0.610552,0.00043,0.6101219999999999,0.520639,0.001146,0.519493
scene05,L0__s20260820__0005.png::boost_e,V,True,,24,0.763324,0.000838,0.762486,0.763324,0.000838,0.762486,nan,nan,nan,0.348215,3e-06,0.348212,0.763324,0.000221,0.763103,0.604063,0.000838,0.603225
scene05,L0__s20260820__0006.png::boost_e,V,True,,9,0.212669,0.013128,0.199541,0.212669,0.013128,0.199541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.212669,0.013128,0.199541
scene05,L0__s20260820__0007.png::boost_e,V,True,,19,0.234095,0.000439,0.233656,0.234095,0.000439,0.233656,nan,nan,nan,nan,nan,nan,0.234095,2.4e-05,0.234071,0.154016,0.000439,0.153577
scene05,L0__s20260821__0000.png::boost_e2,V,True,,18,0.086068,0.001882,0.08418600000000001,0.086068,0.001882,0.08418600000000001,nan,nan,nan,nan,nan,nan,0.031068,0.001882,0.029185999999999997,0.086068,0.000528,0.08554
scene05,L0__s20260821__0001.png::boost_e2,V,True,,17,0.407113,0.017021,0.390092,0.407113,0.017021,0.390092,nan,nan,nan,nan,nan,nan,0.306497,0.017021,0.289476,0.407113,0.008496,0.398617
scene05,L0__s20260821__0002.png::boost_e2,V,True,,26,0.313235,0.327505,-0.014270000000000005,0.313235,0.327505,-0.014270000000000005,nan,nan,nan,0.313235,0.327505,-0.014270000000000005,0.094562,0.189202,-0.09464000000000002,0.249123,0.014589,0.23453400000000002
scene05,L0__s20260821__0003.png::boost_e2,V,True,,15,0.017758,0.000975,0.016783,0.017758,0.002187,0.015571,nan,nan,nan,nan,nan,nan,0.00098,0.000525,0.000455,0.017758,0.000975,0.016783
scene05,L0__s20260821__0004.png::boost_e2,V,True,,30,0.645519,0.049512,0.596007,0.645519,0.049512,0.596007,nan,nan,nan,0.549881,0.011443,0.538438,0.645519,0.049512,0.596007,0.635565,0.020357,0.6152080000000001
scene05,L0__s20260821__0005.png::boost_e2,V,True,,28,0.537687,0.04645,0.49123700000000003,0.537687,0.04645,0.49123700000000003,nan,nan,nan,0.073369,0.002181,0.071188,0.471787,0.04645,0.425337,0.537687,0.018504,0.5191830000000001
scene05,L0__s20260821__0006.png::boost_e2,V,True,,27,0.153166,0.001794,0.151372,0.153166,0.001794,0.151372,nan,nan,nan,0.038319,0.000223,0.038096,0.153166,0.001794,0.151372,0.152956,0.00092,0.152036
scene05,L0__s20260821__0007.png::boost_e2,V,True,,29,0.52402,0.001107,0.5229130000000001,0.52402,0.001107,0.5229130000000001,nan,nan,nan,0.089624,3.9e-05,0.089585,0.52402,0.001107,0.5229130000000001,0.408913,0.000619,0.40829400000000005
scene05,L5__s20260819__0000.png,V,True,,40,0.971121,0.018738,0.952383,0.971121,0.018738,0.952383,0.546113,0.00512,0.540993,0.971121,0.018738,0.952383,0.875279,0.003931,0.871348,0.635372,0.009117,0.626255
scene05,L5__s20260819__0001.png,V,True,,8,0.857198,0.395,0.462198,0.857198,0.395,0.462198,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.857198,0.395,0.462198
